id,time,x,y
2,2303.372,69.99868616,47.57069633
2,2304.372,69.9847332,47.57069613
2,2305.372,70.0539812,47.57069709
2,2306.373,70.40796691,47.99512077
2,2307.373,70.65085755,47.57070536
2,2308.373,70.6022806,47.57070469
2,2309.373,70.48393888,47.57070304
2,2310.374,70.33148994,47.57070093
2,2311.374,70.26896004,47.57070006
2,2312.374,70.20695278,47.14628042
2,2313.375,70.15114096,47.14627965
2,2314.375,70.08189296,47.14627869
2,2315.375,70.01936891,46.72185905
2,2316.376,69.956839,46.72185818
2,2317.376,69.90154395,46.72185742
2,2318.376,69.85297283,46.29743797
2,2319.377,69.81834882,46.29743749
2,2320.377,69.77648995,46.29743692
2,2321.377,69.73514786,46.29743635
2,2322.378,69.68657089,46.29743568
2,2323.378,69.63799393,46.29743502
2,2324.378,69.60336993,46.29743454
2,2325.379,69.56151687,45.87301519
2,2326.379,69.50622181,45.87301443
2,2327.379,69.45092676,45.87301367
2,2352.388,70.31753111,47.99511952
2,2353.388,70.43534426,48.84395872
2,2354.388,70.38004335,49.26837673
2,2355.389,70.59501622,49.6927985
2,2356.389,70.92110178,49.69280305
2,2357.389,71.19137555,49.69280684
2,2358.39,71.29576427,49.6928083
2,2359.39,71.27457646,49.692808
2,2360.39,71.21256932,49.26838835
2,2361.391,71.19861637,49.26838815
2,2362.391,71.17794533,49.26838786
2,2363.391,71.15675752,49.26838757
2,2364.392,71.14280457,49.26838737
2,2365.392,71.11541545,49.26838699
2,2366.392,71.1014625,49.26838679
2,2367.393,71.09474441,49.2683867
2,2368.393,71.08079146,49.2683865
2,2369.393,71.0735566,49.2683864
2,2370.394,71.06684446,48.84396752
2,2371.394,71.05960959,48.84396742
2,2372.394,71.05289151,48.84396733
2,2373.395,71.04617342,48.84396723
2,2374.395,71.04617342,48.84396723
2,2375.396,71.04617342,48.84396723
2,2376.396,71.04617342,48.84396723
2,2377.396,71.03893856,48.84396713
2,2378.397,71.03222047,48.84396704
2,2379.397,71.01827346,48.41954806
2,2380.397,71.00432051,48.41954786
2,2381.398,70.99036756,48.41954767
2,2382.398,70.98364947,48.41954757
2,2383.398,70.96969652,48.41954738
2,2384.399,70.95574357,48.41954718
2,2385.399,70.92783766,48.41954679
2,2386.399,70.90044854,48.41954641
2,2387.4,70.87926072,48.41954611
2,2388.4,70.86582454,48.41954593
2,2389.4,70.83791864,48.41954554
2,2390.401,70.81001274,48.41954515
2,2391.401,70.7614358,48.41954447
2,2392.401,70.75471771,48.41954438
2,2393.402,70.73404667,48.41954409
2,2401.404,70.63689869,47.99512395
2,2402.405,70.61571678,47.57070487
2,2477.431,70.72682955,47.14628764
2,2478.431,70.60228651,47.14628591
2,2479.431,70.38007278,47.14628282
2,2480.432,70.35216687,47.14628243
2,2481.432,70.35940174,47.14628253
2,2482.433,70.29015374,47.14628157
2,2483.433,70.21367087,47.14628051
2,2484.433,70.1511351,47.57069843
2,2485.434,70.09584592,47.14627889
2,2486.434,70.0539812,47.57069709
2,2487.434,69.95682729,47.57069575
2,2488.435,69.92943816,47.57069537
2,2489.435,69.8529553,47.57069432
2,2490.435,69.73512453,47.99511148
2,2491.436,69.68654758,47.99511081
2,2492.436,69.66587654,47.99511053
2,2493.436,69.63796481,48.41952893
2,2494.437,69.7004947,48.41952979
2,2495.437,69.70721279,48.41952988
2,2496.437,69.72116575,48.41953007
2,2497.438,69.75578973,48.41953055
2,2498.438,69.72788383,48.41953016
2,2499.438,69.72116575,48.41953007
2,2500.439,69.71444766,48.41952998
2,2501.439,69.70721279,48.41952988
2,2502.439,69.71444766,48.41952998
2,2503.44,69.72788383,48.41953016
2,2504.44,69.74907165,48.41953045
2,2505.441,69.74907165,48.41953045
2,2506.441,69.7004947,48.41952979
2,2507.441,69.72116575,48.41953007
2,2508.442,69.71444766,48.41952998
2,2509.442,69.69325984,48.41952969
2,2510.442,69.6725888,48.4195294
2,2511.443,69.65863585,48.41952921
2,2512.443,69.6446829,48.41952902
2,2513.443,69.63124672,48.41952884
2,2514.444,69.6725888,48.4195294
2,2515.444,69.86689657,48.41953208
2,2516.444,70.13717041,48.4195358
2,2517.445,70.0126274,48.41953408
2,2518.445,70.04725725,47.99511578
2,2519.445,70.12322332,47.99511683
2,2520.446,70.22038309,47.57069939
2,2521.446,70.26896004,47.57070006
2,2522.446,70.4079728,47.57070199
2,2523.447,70.41469678,47.1462833
2,2524.447,70.5397566,47.14628504
2,2525.447,70.62296346,46.72186741
2,2526.448,70.66430555,46.72186799
2,2527.448,70.69892955,46.72186847
2,2528.448,70.72683546,46.72186886
2,2529.449,70.72011738,46.72186876
2,2530.449,70.71288251,46.72186866
2,2531.449,70.71288251,46.72186866
2,2532.45,70.71288251,46.72186866
2,2533.45,70.52581544,46.29744728
2,2534.451,70.30360167,46.29744419
2,2535.451,70.06795173,46.29744093
2,2536.451,70.01937477,46.29744026
2,2537.452,69.98475076,46.29743979
2,2538.452,69.9361738,46.29743912
2,2539.452,69.91550275,46.29743883
2,2540.453,70.01265667,46.29744017
2,2541.453,70.04728068,46.29744065
2,2542.453,70.11652869,46.29744161
2,2543.454,70.19301157,46.29744266
2,2544.454,70.22763557,46.29744314
2,2545.454,70.29688358,46.2974441
2,2546.455,70.3247895,46.29744449
2,2547.455,70.33150759,46.29744458
2,2548.455,70.33150759,46.29744458
2,2549.456,70.37336646,46.29744516
2,2550.456,70.59505755,46.72186702
2,2551.456,70.90047225,46.72187128
2,2552.457,71.21931123,47.57071331
2,2553.457,71.64254484,47.99513805
2,2554.457,72.07921455,48.41956302
